t_prop_us,noise_pct,init_factor,warm_start,path_change_ack,path_factor,converged_ack,converged_rtt,detection_ack,detection_delta_ack,final_x_est_us,final_min_rtt_us,true_min_rtt_us,final_err_pct,acks_total,final_confirm_cnt,final_confirm_slow_cnt
1000,5.0,10.0,False,,1.0,6,499,-1,-1,1017,961,1000,1.7000000000000002,10000,0,1
1000,5.0,50.0,False,,1.0,4,499,-1,-1,1006,1006,1000,0.6,10000,0,0
1000,5.0,100.0,False,,1.0,6,499,-1,-1,1033,933,1000,3.3000000000000003,10000,2,2
1000,10.0,2.0,False,,1.0,8,499,-1,-1,1137,950,1000,13.700000000000001,10000,1,2
1000,10.0,5.0,False,,1.0,9,499,-1,-1,964,850,1000,3.5999999999999996,10000,1,2
1000,10.0,10.0,False,,1.0,5,499,-1,-1,1083,916,1000,8.3,10000,1,3
1000,10.0,50.0,False,,1.0,10,499,-1,-1,1050,1003,1000,5.0,10000,0,0
1000,10.0,100.0,False,,1.0,13,499,-1,-1,1034,888,1000,3.4000000000000004,10000,1,1
1000,20.0,2.0,False,,1.0,12,499,-1,-1,1066,840,1000,6.6000000000000005,10000,2,2
1000,20.0,5.0,False,,1.0,11,499,-1,-1,658,523,1000,34.2,10000,2,2
1000,20.0,10.0,False,,1.0,19,499,-1,-1,1021,723,1000,2.1,10000,3,3
1000,20.0,50.0,False,,1.0,10,499,-1,-1,979,872,1000,2.1,10000,1,1
1000,20.0,100.0,False,,1.0,16,499,-1,-1,892,775,1000,10.8,10000,2,2
5000,0.0,2.0,False,,1.0,4,499,-1,-1,5000,5000,5000,0.0,10000,0,0
5000,0.0,5.0,False,,1.0,4,499,-1,-1,5000,5000,5000,0.0,10000,0,0
5000,0.0,10.0,False,,1.0,4,499,-1,-1,5000,5000,5000,0.0,10000,0,0
5000,0.0,50.0,False,,1.0,4,499,-1,-1,5000,5000,5000,0.0,10000,0,0
5000,0.0,100.0,False,,1.0,4,499,-1,-1,5000,5000,5000,0.0,10000,0,0
5000,0.5,2.0,False,,1.0,4,499,-1,-1,5011,4906,5000,0.22,10000,0,0
5000,0.5,5.0,False,,1.0,4,499,-1,-1,4963,4908,5000,0.74,10000,0,0
5000,0.5,10.0,False,,1.0,4,499,-1,-1,4975,4905,5000,0.5,10000,0,0
5000,0.5,50.0,False,,1.0,4,499,-1,-1,5015,4902,5000,0.3,10000,0,0
5000,0.5,100.0,False,,1.0,4,499,-1,-1,5027,4903,5000,0.54,10000,0,0
5000,1.0,2.0,False,,1.0,4,499,-1,-1,4971,4870,5000,0.58,10000,0,1
5000,1.0,5.0,False,,1.0,4,499,-1,-1,5071,4868,5000,1.4200000000000002,10000,0,2
5000,1.0,10.0,False,,1.0,4,499,-1,-1,4909,4880,5000,1.82,10000,0,1
5000,1.0,50.0,False,,1.0,4,499,-1,-1,5033,4876,5000,0.66,10000,0,2
5000,1.0,100.0,False,,1.0,4,499,-1,-1,5013,4865,5000,0.26,10000,0,1
5000,2.0,2.0,False,,1.0,7,499,-1,-1,5212,5212,5000,4.24,10000,0,0
5000,2.0,5.0,False,,1.0,4,499,-1,-1,4798,4753,5000,4.04,10000,0,1
5000,2.0,10.0,False,,1.0,5,499,-1,-1,4959,4838,5000,0.8200000000000001,10000,0,0
5000,2.0,50.0,False,,1.0,4,499,-1,-1,5061,4859,5000,1.22,10000,0,2
5000,2.0,100.0,False,,1.0,4,499,-1,-1,4811,4805,5000,3.7800000000000002,10000,0,2
5000,5.0,2.0,False,,1.0,4,499,-1,-1,5278,5131,5000,5.56,10000,0,0
5000,5.0,5.0,False,,1.0,5,499,-1,-1,5112,4798,5000,2.2399999999999998,10000,0,2
5000,5.0,10.0,False,,1.0,4,499,-1,-1,4856,4617,5000,2.88,10000,0,3
5000,5.0,50.0,False,,1.0,4,499,-1,-1,5477,4762,5000,9.54,10000,2,2
5000,5.0,100.0,False,,1.0,4,499,-1,-1,5090,4908,5000,1.7999999999999998,10000,0,1
5000,10.0,2.0,False,,1.0,4,499,-1,-1,4927,4394,5000,1.46,10000,1,1
5000,10.0,5.0,False,,1.0,4,499,-1,-1,4667,4667,5000,6.660000000000001,10000,0,0
5000,10.0,10.0,False,,1.0,8,499,-1,-1,5488,4360,5000,9.76,10000,2,2
5000,10.0,50.0,False,,1.0,22,499,-1,-1,4105,4105,5000,17.9,10000,0,0
5000,10.0,100.0,False,,1.0,10,499,-1,-1,4833,4322,5000,3.34,10000,1,1
5000,20.0,2.0,False,,1.0,9,499,-1,-1,5065,5065,5000,1.3,10000,0,0
5000,20.0,5.0,False,,1.0,16,499,-1,-1,3542,3157,5000,29.160000000000004,10000,1,1
5000,20.0,10.0,False,,1.0,17,499,-1,-1,6020,5366,5000,20.4,10000,1,1
5000,20.0,50.0,False,,1.0,9,499,-1,-1,4845,3633,5000,3.1,10000,2,4
5000,20.0,100.0,False,,1.0,15,499,-1,-1,3225,3225,5000,35.5,10000,0,0
10000,0.0,2.0,False,,1.0,4,499,-1,-1,10000,10000,10000,0.0,10000,0,0
10000,0.0,5.0,False,,1.0,4,499,-1,-1,10000,10000,10000,0.0,10000,0,0
10000,0.0,10.0,False,,1.0,4,499,-1,-1,10000,10000,10000,0.0,10000,0,0
10000,0.0,50.0,False,,1.0,4,499,-1,-1,10000,10000,10000,0.0,10000,0,0
10000,0.0,100.0,False,,1.0,4,499,-1,-1,10000,10000,10000,0.0,10000,0,0
10000,0.5,2.0,False,,1.0,4,499,-1,-1,10030,9824,10000,0.3,10000,0,0
10000,0.5,5.0,False,,1.0,4,499,-1,-1,10028,9832,10000,0.27999999999999997,10000,0,0
