t_prop_us,noise_pct,init_factor,warm_start,path_change_ack,path_factor,converged_ack,converged_rtt,detection_ack,detection_delta_ack,final_x_est_us,final_min_rtt_us,true_min_rtt_us,final_err_pct,acks_total,final_confirm_cnt,final_confirm_slow_cnt
10000,1.0,1.0,True,500,10.0,0,499,519,19,101500,97626,100000,1.5,10000,0,0
10000,1.0,1.0,True,500,20.0,0,499,527,27,198913,194506,200000,0.5435,10000,0,0
10000,5.0,1.0,True,500,1.05,1,499,501,1,10778,10061,10500,2.6476190476190475,10000,0,1
10000,5.0,1.0,True,500,1.1,0,499,507,7,11495,11246,11000,4.5,10000,0,0
10000,5.0,1.0,True,500,1.25,0,499,501,1,12215,11081,12500,2.2800000000000002,10000,1,4
10000,5.0,1.0,True,500,1.5,1,499,503,3,15066,13889,15000,0.44,10000,0,3
10000,5.0,1.0,True,500,2.0,0,499,507,7,19041,19041,20000,4.795,10000,0,0
10000,5.0,1.0,True,500,5.0,6,499,517,17,50994,46650,50000,1.9879999999999998,10000,0,4
10000,5.0,1.0,True,500,10.0,0,499,519,19,96037,91171,100000,3.963,10000,0,3
10000,5.0,1.0,True,500,20.0,0,499,527,27,204640,204640,200000,2.32,10000,0,0
50000,1.0,1.0,True,500,1.05,0,499,504,4,52216,51111,52500,0.540952380952381,10000,0,0
50000,1.0,1.0,True,500,1.1,0,499,502,2,56303,53623,55000,2.369090909090909,10000,0,3
50000,1.0,1.0,True,500,1.25,0,499,502,2,62757,60959,62500,0.4112,10000,0,0
50000,1.0,1.0,True,500,1.5,0,499,504,4,74092,73455,75000,1.2106666666666666,10000,0,0
50000,1.0,1.0,True,500,2.0,0,499,509,9,100382,98091,100000,0.382,10000,0,0
50000,1.0,1.0,True,500,5.0,0,499,515,15,249664,245429,250000,0.1344,10000,0,0
50000,1.0,1.0,True,500,10.0,0,499,521,21,496921,485725,500000,0.6158,10000,0,4
50000,1.0,1.0,True,500,20.0,0,499,525,25,999071,978959,1000000,0.0929,10000,0,0
50000,5.0,1.0,True,500,1.05,3,499,505,5,51354,51354,52500,2.182857142857143,10000,0,0
50000,5.0,1.0,True,500,1.1,3,499,503,3,53921,50548,55000,1.961818181818182,10000,0,4
50000,5.0,1.0,True,500,1.25,3,499,502,2,60374,58936,62500,3.4015999999999997,10000,0,0
50000,5.0,1.0,True,500,1.5,0,499,502,2,70271,67834,75000,6.3053333333333335,10000,0,0
50000,5.0,1.0,True,500,2.0,1,499,509,9,97774,93749,100000,2.226,10000,0,1
50000,5.0,1.0,True,500,5.0,0,499,513,13,236289,232218,250000,5.4844,10000,0,1
50000,5.0,1.0,True,500,10.0,4,499,521,21,504178,466338,500000,0.8356,10000,0,4
50000,5.0,1.0,True,500,20.0,5,499,528,28,1058364,974193,1000000,5.8364,10000,0,3
100000,1.0,1.0,True,500,1.05,0,499,504,4,105094,102919,105000,0.08952380952380952,10000,0,0
100000,1.0,1.0,True,500,1.1,0,499,503,3,110171,107370,110000,0.15545454545454546,10000,0,0
100000,1.0,1.0,True,500,1.25,0,499,503,3,124728,121655,125000,0.2176,10000,0,1
100000,1.0,1.0,True,500,1.5,0,499,503,3,148963,145571,150000,0.6913333333333332,10000,0,0
100000,1.0,1.0,True,500,2.0,0,499,507,7,196319,194171,200000,1.8405,10000,0,4
100000,1.0,1.0,True,500,5.0,0,499,515,15,501705,486154,500000,0.34099999999999997,10000,0,0
100000,1.0,1.0,True,500,10.0,0,499,521,21,1002485,981985,1000000,0.24849999999999997,10000,0,0
100000,1.0,1.0,True,500,20.0,0,499,528,28,1991805,1950354,2000000,0.40974999999999995,10000,0,0
100000,5.0,1.0,True,500,1.05,6,499,501,1,112175,112175,105000,6.833333333333333,10000,0,0
100000,5.0,1.0,True,500,1.1,1,499,502,2,111235,109517,110000,1.1227272727272728,10000,0,0
100000,5.0,1.0,True,500,1.25,0,499,503,3,124478,118631,125000,0.4176,10000,0,3
100000,5.0,1.0,True,500,1.5,1,499,514,14,150125,148387,150000,0.08333333333333334,10000,0,0
100000,5.0,1.0,True,500,2.0,1,499,507,7,188718,172228,200000,5.641,10000,0,1
100000,5.0,1.0,True,500,5.0,0,499,515,15,557648,467162,500000,11.5296,10000,1,2
100000,5.0,1.0,True,500,10.0,3,499,519,19,923254,907370,1000000,7.6746,10000,0,1
100000,5.0,1.0,True,500,20.0,2,499,527,27,2073771,1849925,2000000,3.68855,10000,2,2
500000,1.0,1.0,True,500,1.05,0,499,501,1,537334,509492,525000,2.3493333333333335,10000,0,4
500000,1.0,1.0,True,500,1.1,0,499,503,3,555114,537331,550000,0.9298181818181819,10000,0,1
500000,1.0,1.0,True,500,1.25,0,499,501,1,618815,608103,625000,0.9896,10000,0,1
500000,1.0,1.0,True,500,1.5,0,499,504,4,754430,735034,750000,0.5906666666666667,10000,0,0
500000,1.0,1.0,True,500,2.0,0,499,507,7,1005772,976033,1000000,0.5772,10000,0,0
500000,1.0,1.0,True,500,5.0,0,499,515,15,2485062,2424244,2500000,0.59752,10000,0,4
500000,1.0,1.0,True,500,10.0,0,499,519,19,4955315,4832767,5000000,0.8937,10000,0,2
500000,1.0,1.0,True,500,20.0,0,499,526,26,10114687,9730570,10000000,1.14687,10000,0,0
500000,5.0,1.0,True,500,1.05,4,499,500,0,510922,507726,525000,2.6815238095238096,10000,0,1
500000,5.0,1.0,True,500,1.1,0,499,501,1,575308,471548,550000,4.601454545454545,10000,3,3
500000,5.0,1.0,True,500,1.25,0,499,503,3,662612,615124,625000,6.01792,10000,0,1
500000,5.0,1.0,True,500,1.5,7,499,503,3,715174,715174,750000,4.643466666666667,10000,0,0
500000,5.0,1.0,True,500,2.0,1,499,509,9,936363,936363,1000000,6.3637,10000,0,0
500000,5.0,1.0,True,500,5.0,7,499,523,23,2347343,2258089,2500000,6.10628,10000,0,0
500000,5.0,1.0,True,500,10.0,3,499,521,21,5077915,4789792,5000000,1.5583,10000,0,3
500000,5.0,1.0,True,500,20.0,9,499,527,27,10265975,10265975,10000000,2.65975,10000,0,0
1000000,1.0,1.0,True,500,1.05,0,499,501,1,1052821,1024139,1050000,0.26866666666666666,10000,0,0
1000000,1.0,1.0,True,500,1.1,0,499,501,1,1092597,1068609,1100000,0.673,10000,0,2
1000000,1.0,1.0,True,500,1.25,0,499,502,2,1252414,1225980,1250000,0.19312,10000,0,0
1000000,1.0,1.0,True,500,1.5,0,499,503,3,1495580,1460727,1500000,0.2946666666666667,10000,0,1
1000000,1.0,1.0,True,500,2.0,0,499,508,8,2003977,1935182,2000000,0.19884999999999997,10000,0,3
1000000,1.0,1.0,True,500,5.0,0,499,515,15,4971627,4911651,5000000,0.56746,10000,0,0
1000000,1.0,1.0,True,500,10.0,0,499,520,20,9939833,9724139,10000000,0.6016699999999999,10000,0,4
1000000,1.0,1.0,True,500,20.0,0,499,527,27,19805607,19498784,20000000,0.971965,10000,0,1
1000000,5.0,1.0,True,500,1.05,3,499,502,2,1084575,979857,1050000,3.2928571428571427,10000,1,1
1000000,5.0,1.0,True,500,1.1,0,499,505,5,1132704,1042829,1100000,2.9730909090909092,10000,0,2
1000000,5.0,1.0,True,500,1.25,0,499,502,2,1144916,1144916,1250000,8.40672,10000,0,0
1000000,5.0,1.0,True,500,1.5,4,499,511,11,1468090,1395795,1500000,2.1273333333333335,10000,0,3
1000000,5.0,1.0,True,500,2.0,0,499,506,6,2075068,1881451,2000000,3.7533999999999996,10000,1,3
1000000,5.0,1.0,True,500,5.0,4,499,526,26,4729408,4729408,5000000,5.41184,10000,0,0
1000000,5.0,1.0,True,500,10.0,1,499,519,19,10741861,9422601,10000000,7.41861,10000,2,2
1000000,5.0,1.0,True,500,20.0,1,499,533,33,19261023,18849818,20000000,3.6948849999999998,10000,0,3
