t_prop_us,noise_pct,init_factor,warm_start,path_change_ack,path_factor,converged_ack,converged_rtt,detection_ack,detection_delta_ack,final_x_est_us,final_min_rtt_us,true_min_rtt_us,final_err_pct,acks_total,final_confirm_cnt,final_confirm_slow_cnt,trial
500,2.0,10.0,True,,1.0,0,249,-1,-1,503,485,500,0.6,5000,0,3,2
500,2.0,10.0,True,,1.0,0,249,-1,-1,492,478,500,1.6,5000,0,3,3
500,2.0,10.0,True,,1.0,0,249,-1,-1,505,482,500,1.0,5000,0,0,4
500,5.0,1.0,False,,1.0,4,249,-1,-1,480,480,500,4.0,5000,0,0,0
500,5.0,1.0,False,,1.0,10,249,-1,-1,492,476,500,1.6,5000,0,0,1
500,5.0,1.0,False,,1.0,4,249,-1,-1,529,461,500,5.800000000000001,5000,1,2,2
500,5.0,1.0,False,,1.0,8,249,-1,-1,516,516,500,3.2,5000,0,0,3
500,5.0,1.0,False,,1.0,10,249,-1,-1,500,489,500,0.0,5000,0,0,4
500,5.0,5.0,True,,1.0,1,249,-1,-1,486,476,500,2.8000000000000003,5000,0,2,0
500,5.0,5.0,True,,1.0,3,249,-1,-1,487,487,500,2.6,5000,0,0,1
500,5.0,5.0,True,,1.0,1,249,-1,-1,547,476,500,9.4,5000,1,3,2
500,5.0,5.0,True,,1.0,1,249,-1,-1,504,504,500,0.8,5000,0,0,3
500,5.0,5.0,True,,1.0,2,249,-1,-1,496,496,500,0.8,5000,0,0,4
500,5.0,10.0,True,,1.0,1,249,-1,-1,503,469,500,0.6,5000,0,3,0
500,5.0,10.0,True,,1.0,2,249,-1,-1,517,481,500,3.4000000000000004,5000,0,1,1
500,5.0,10.0,True,,1.0,1,249,-1,-1,515,511,500,3.0,5000,0,0,2
500,5.0,10.0,True,,1.0,2,249,-1,-1,522,466,500,4.3999999999999995,5000,1,1,3
500,5.0,10.0,True,,1.0,1,249,-1,-1,499,474,500,0.2,5000,0,2,4
500,10.0,1.0,False,,1.0,6,249,-1,-1,488,476,500,2.4,5000,0,0,0
500,10.0,1.0,False,,1.0,13,249,-1,-1,476,425,500,4.8,5000,1,1,1
500,10.0,1.0,False,,1.0,9,249,-1,-1,379,379,500,24.2,5000,0,0,2
500,10.0,1.0,False,,1.0,4,249,-1,-1,555,393,500,11.0,5000,3,3,3
500,10.0,1.0,False,,1.0,4,249,-1,-1,461,461,500,7.8,5000,0,0,4
500,10.0,5.0,True,,1.0,0,249,-1,-1,465,465,500,7.000000000000001,5000,0,0,0
500,10.0,5.0,True,,1.0,17,249,-1,-1,568,568,500,13.600000000000001,5000,0,0,1
500,10.0,5.0,True,,1.0,9,249,-1,-1,529,529,500,5.800000000000001,5000,0,0,2
500,10.0,5.0,True,,1.0,6,249,-1,-1,495,460,500,1.0,5000,0,1,3
500,10.0,5.0,True,,1.0,3,249,-1,-1,420,420,500,16.0,5000,0,0,4
500,10.0,10.0,True,,1.0,3,249,-1,-1,456,434,500,8.799999999999999,5000,0,1,0
500,10.0,10.0,True,,1.0,0,249,-1,-1,497,439,500,0.6,5000,2,2,1
